hdi rank,country,hdi,life,expected_education,mean_education,gni,gni_rank_minus_hdi_rank,continent,Country Name,population
42,Chile,0.832,81.7,15.2,9.8,21290,11,Americas,Chile,17762681
43,Portugal,0.83,80.9,16.3,8.2,25757,-2,Europe,Portugal,10358076
44,Hungary,0.828,75.2,15.4,11.6,22916,3,Europe,Hungary,9843028
45,Bahrain,0.824,76.6,14.4,9.4,38599,-20,Asia,Bahrain,1371855
46,Latvia,0.819,74.2,15.2,11.5,22281,4,Europe,Latvia,1977527
47,Croatia,0.818,77.3,14.8,11,19409,11,Europe,Croatia,4203604
48,Kuwait,0.816,74.4,14.7,7.2,83961,-46,Asia,Kuwait,3935794
49,Montenegro,0.802,76.2,15.2,11.2,14558,27,Europe,Montenegro,622159
50,Belarus,0.798,71.3,15.7,12,16676,14,Europe,Belarus,9489616
50,Russian Federation,0.798,70.1,14.7,12,22352,-1,Europe,Russian Federation,144096870
52,Oman,0.793,76.8,13.6,8,34858,-23,Asia,Oman,4199810
52,Romania,0.793,74.7,14.2,10.8,18108,10,Europe,Romania,19815481
52,Uruguay,0.793,77.2,15.5,8.5,19283,7,Americas,Uruguay,3431552
56,Kazakhstan,0.788,69.4,15,11.4,20867,-1,Asia,Kazakhstan,17542806
57,Barbados,0.785,75.6,15.4,10.5,12488,27,Americas,Barbados,284217
58,Antigua and Barbuda,0.783,76.1,14,9.2,20070,-1,Americas,Antigua and Barbuda,99923
